gene_id,gene_name
624,ENSG00000221662.1,MIR1290
625,ENSG00000169991.11,IFFO2
626,ENSG00000272084.1,RP5-1126H10.2
627,ENSG00000127481.15,UBR4
628,ENSG00000230424.1,EMC1-AS1
629,ENSG00000127463.15,EMC1
630,ENSG00000053372.5,MRTO4
631,ENSG00000286064.1,RP4-657E11.11
632,ENSG00000211454.15,AKR7L
633,ENSG00000162482.5,AKR7A3
634,ENSG00000270728.1,RP4-657E11.10
635,ENSG00000053371.13,AKR7A2
636,ENSG00000200403.1,RNU6-1099P
637,ENSG00000040487.13,SLC66A1
638,ENSG00000077549.19,CAPZB
639,ENSG00000240490.3,RN7SL277P
640,ENSG00000173436.15,MICOS10
641,ENSG00000201609.1,RNU4-28P
642,ENSG00000235185.1,RP5-1056L3.1
643,ENSG00000158747.15,NBL1
644,ENSG00000270136.6,MICOS10-NBL1
645,ENSG00000226396.1,RP5-1056L3.3
646,ENSG00000158748.4,HTR6
647,ENSG00000162542.14,TMCO4
648,ENSG00000178828.7,RNF186
649,ENSG00000235434.1,RP11-91K11.2
650,ENSG00000169914.6,OTUD3
651,ENSG00000188784.4,PLA2G2E
652,ENSG00000242688.3,RN7SL304P
653,ENSG00000188257.12,PLA2G2A
654,ENSG00000127472.11,PLA2G5
655,ENSG00000117215.15,PLA2G2D
656,ENSG00000158786.5,PLA2G2F
657,ENSG00000227066.2,RP3-340N1.2
658,ENSG00000187980.7,PLA2G2C
659,ENSG00000162543.6,UBXN10
660,ENSG00000228105.2,LINC01757
661,ENSG00000284710.1,RP3-340N1.7
662,ENSG00000158816.16,VWA5B1
663,ENSG00000226664.1,RP4-745E8.2
664,ENSG00000236963.7,LINC01141
665,ENSG00000226487.1,RP4-749H3.2
666,ENSG00000284641.1,RP4-749H3.4
667,ENSG00000284743.1,RP4-749H3.3
668,ENSG00000162545.6,CAMK2N1
669,ENSG00000090432.7,MUL1
670,ENSG00000215520.3,RPS4XP4
671,ENSG00000183114.8,FAM43B
